Initial condition file for si3d model            -
Stratification for Lake Tahoe                    -
File created on 2022-05-08 08:29 PM PST                       
Depths (m)   Temp (oC)                           -
Source: From CTD_Profile                         -
--------------------------------------------------
     -1.66     7.4900 
     -1.74     6.7770 
     -2.16     7.5150 
     -2.44     6.7360 
     -3.24     7.3610 
     -3.76     7.2270 
     -3.79     6.6450 
     -4.52     6.5090 
     -4.83     7.1290 
     -5.37     7.0470 
     -6.00     6.4790 
     -6.46     6.8960 
     -7.03     6.8140 
     -7.59     6.4250 
     -8.19     6.7530 
     -8.37     6.3810 
     -8.74     6.6890 
     -9.86     6.5420 
     -9.96     6.2730 
    -11.06     6.4820 
    -11.49     6.2580 
    -11.59     6.4140 
    -12.76     6.3860 
    -13.04     6.2380 
    -13.32     6.3340 
    -13.82     6.2300 
    -14.48     6.3230 
    -15.00     6.3100 
    -15.35     6.2070 
    -16.15     6.2980 
    -16.17     6.1710 
    -16.72     6.2690 
    -17.67     6.1500 
    -17.87     6.2380 
    -18.43     6.2290 
    -18.45     6.1290 
    -19.55     6.2010 
    -19.97     6.1140 
    -20.12     6.1910 
    -21.25     6.1700 
    -21.53     6.0670 
    -21.82     6.1630 
    -22.29     5.9980 
    -22.93     6.1540 
    -23.84     5.9670 
    -24.05     6.1500 
    -24.59     5.9400 
    -24.61     6.1390 
    -25.70     6.1220 
    -26.13     5.9350 
    -26.29     6.0680 
    -27.44     6.0340 
    -27.64     5.9190 
    -28.00     5.9900 
    -28.39     5.9030 
    -29.15     5.9790 
    -29.74     5.9740 
    -29.91     5.8960 
    -30.66     5.8770 
    -30.88     5.9470 
    -31.42     5.9350 
    -32.16     5.8590 
    -32.55     5.9190 
    -33.15     5.9150 
    -33.66     5.8320 
    -34.28     5.9040 
    -34.42     5.8120 
    -35.40     5.8940 
    -35.94     5.8790 
    -35.95     5.8040 
    -37.05     5.8670 
    -37.46     5.7890 
    -37.64     5.8390 
    -38.21     5.7780 
    -38.77     5.8230 
    -39.34     5.8000 
    -39.72     5.7540 
    -40.47     5.7930 
    -40.50     5.7160 
    -41.02     5.7810 
    -42.01     5.7010 
    -42.17     5.7600 
    -42.72     5.7480 
    -43.54     5.6940 
    -43.83     5.7350 
    -44.29     5.6880 
    -44.96     5.7280 
    -45.49     5.7220 
    -45.81     5.6770 
    -46.58     5.6650 
    -46.61     5.7170 
    -47.16     5.7160 
    -48.10     5.6540 
    -48.26     5.7120 
    -49.35     5.7080 
    -49.62     5.6490 
    -49.92     5.7020 
    -50.40     5.6470 
    -50.99     5.6780 
    -51.56     5.6720 
    -51.93     5.6390 
    -52.66     5.6660 
    -52.69     5.6300 
    -53.76     5.6650 
    -54.20     5.6290 
    -54.29     5.6610 
    -55.34     5.6580 
    -55.69     5.6280 
    -55.91     5.6560 
    -56.46     5.6280 
    -56.99     5.6550 
    -57.98     5.6270 
    -58.08     5.6540 
    -58.61     5.6530 
    -58.74     5.6260 
    -59.73     5.6470 
    -60.26     5.6450 
    -60.26     5.6260 
    -61.42     5.6420 
    -61.80     5.6260 
    -62.51     5.6420 
    -62.54     5.6250 
    -63.07     5.6390 
    -64.04     5.6240 
    -64.16     5.6380 
    -64.72     5.6370 
    -64.79     5.6230 
    -65.81     5.6360 
    -66.31     5.6230 
    -66.93     5.6360 
    -67.05     5.6220 
    -67.47     5.6350 
    -68.52     5.6200 
    -68.58     5.6330 
